,redshift,luminosity_distance,theta_jn,psi,phase,geocent_time,Mf,af,eta,delta_mass,chi_eff,chi_PN,chi_s,mu,M,epsilon,lnAGR
0,0.09,440.0,0.0,0.0,-2.5721420315087697,0.0,62.936915090753935,0.6582853758493652,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.16818933964651858,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
1,0.09,440.0,0.0,0.0,0.2361675932445375,0.0,62.93640065456409,0.7133488071574625,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.1630520869109936,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
2,0.09,440.0,0.0,0.0,0.5103317967382449,0.0,62.93717924799697,0.6293276856553209,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.11343096084935228,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
3,0.09,440.0,0.0,0.0,1.5106586555859667,0.0,62.936847494098416,0.6657852917608277,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.07610147204114867,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
4,0.09,440.0,0.0,0.0,-0.18043255063710134,0.0,62.93685945590307,0.6642287097390175,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.20446613993919058,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
5,0.09,440.0,0.0,0.0,1.8879547940935972,0.0,62.93606534072457,0.7468563958182416,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.06349964617388718,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
6,0.09,440.0,0.0,0.0,0.7671602006964887,0.0,62.936381649057246,0.7148314008672392,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.05684387163395151,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
7,0.09,440.0,0.0,0.0,0.3402375463901737,0.0,62.93686901484113,0.6633611668523391,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.1252821665441786,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
8,0.09,440.0,0.0,0.0,0.7132320220446876,0.0,62.9360166612224,0.7514435446420157,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.19203378517279426,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
9,0.09,440.0,0.0,0.0,1.2144122434282307,0.0,62.93670892848775,0.6804516826627873,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.14869647214923398,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
10,0.09,440.0,0.0,0.0,1.1894319690794277,0.0,62.93710100358227,0.6384310352765074,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.07317690408376307,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
11,0.09,440.0,0.0,0.0,0.40944641832945733,0.0,62.93615804595375,0.7372750038553878,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.20470679308923773,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
12,0.09,440.0,0.0,0.0,-0.5347437279660094,0.0,62.93602515107293,0.7510205280089148,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.012858223516416536,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
13,0.09,440.0,0.0,0.0,-1.7167934037507293,0.0,62.93625636787716,0.7278147273825663,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.028914400697702874,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
14,0.09,440.0,0.0,0.0,1.6995869862625004,0.0,62.936082341968216,0.7450363902913735,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.12258788767271832,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
15,0.09,440.0,0.0,0.0,1.3289298597627817,0.0,62.9370554244294,0.6430772990326957,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.10526228977236946,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
16,0.09,440.0,0.0,0.0,-1.5264537543743026,0.0,62.936773596651825,0.6740057550849698,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.05980891830720417,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
17,0.09,440.0,0.0,0.0,1.1477218837776493,0.0,62.93695710340699,0.6539228545751198,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.07032265088899359,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
18,0.09,440.0,0.0,0.0,-2.023611370281452,0.0,62.936923675547085,0.6575936825263999,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.05402560831781673,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
19,0.09,440.0,0.0,0.0,-2.4467449750761037,0.0,62.93609532225378,0.7437472087901082,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.11800471613172434,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
20,0.09,440.0,0.0,0.0,-0.2667530922284084,0.0,62.93691789090005,0.6582573294887962,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.0372994767191524,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
21,0.09,440.0,0.0,0.0,1.3256668335166273,0.0,62.93713811795773,0.6340015525518707,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.07051217656545548,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
22,0.09,440.0,0.0,0.0,-2.5453288157641625,0.0,62.93688892258966,0.6616144804821419,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.06365614249076545,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
23,0.09,440.0,0.0,0.0,-0.24639555526213802,0.0,62.93714738377493,0.6327291605424881,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.18509730070029956,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
24,0.09,440.0,0.0,0.0,0.1297804919310727,0.0,62.93683636030579,0.6672744607297139,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.0590831035389968,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
25,0.09,440.0,0.0,0.0,0.3591373898826171,0.0,62.93653251823,0.6995466269099668,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.10077514746539085,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
26,0.09,440.0,0.0,0.0,-1.7420966264179767,0.0,62.936330388392015,0.7201418232413257,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.03122645432613583,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
27,0.09,440.0,0.0,0.0,-0.6145658459577691,0.0,62.936941008350075,0.6561688615768312,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.1557001042208173,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
28,0.09,440.0,0.0,0.0,1.79333148341291,0.0,62.936872708379354,0.663330728973038,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.04711321137602656,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
29,0.09,440.0,0.0,0.0,0.1600813471345965,0.0,62.93677579786078,0.673884604253185,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,0.11183811085299572,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
30,0.09,440.0,0.0,0.0,-0.5719217877218465,0.0,62.936128138099356,0.7403148665024094,0.2485836512891664,0.0752688172043011,-0.031397849462365575,-0.021366509197953194,-0.1882975423910629,3.5614439643311365e+31,1.4326943649999998e+32,0.05,-57.46580703812978
