,redshift,luminosity_distance,theta_jn,dec,ra,psi,phase,geocent_time,Mf,af,eta,delta_mass,chi_eff,chi_PN,chi_s,mu,M
0,0.09,440.0,0.7066501804041311,-0.027979364151847763,0.611791467712641,2.2890280774832297,2.410421046432059,1127406111.9126766,62.73237444378012,0.7174532174330236,0.24414216019678187,0.15307305188331685,0.05125212107507587,0.05344817177545039,-0.013374095829977534,16.108587628756368,1.3959200204965233e+32
1,0.09,440.0,2.2197878587583535,-0.29225833948816105,2.8229604447640066,4.744865984924171,5.731965773445143,1135629029.4909716,68.15082800127155,0.6456393742373248,0.24980179514745268,0.028157049031976467,-0.14417737757613247,-0.11810516828746473,-0.15518406713107125,17.826383965252287,1.5135728455930956e+32
2,0.09,440.0,1.483895336635271,-1.0830467813862368,1.095715561143913,1.5859663318309358,1.161870177389682,1128679237.4571853,60.268903889907556,0.6629426277201891,0.24981243593459151,0.027390806151590088,-0.08947280791632466,-0.07252327933080821,-0.10088077749622437,15.787920104875543,1.3392631499311582e+32
3,0.09,440.0,1.4302574564573614,-0.2814187122142382,4.234450910769078,5.48686984278552,1.3422403926535644,1120093715.091304,74.909353729331,0.6502449912503159,0.24963917560631976,0.03799075643786567,-0.13791020950092617,-0.11166046297222756,-0.15634256240656502,19.585371553680623,1.6638864831992748e+32
4,0.09,440.0,2.1953076667609785,1.0435436433275682,4.718818562545176,2.6447512723734445,4.645148317511414,1132005000.8786755,56.7076111086965,0.6916980054352656,0.2461718575728114,0.1237439683732274,-0.027272450237784622,-0.014178814217837317,-0.07908365130522596,14.655620765502741,1.2609022300872037e+32
5,0.09,440.0,1.5632183276891332,-0.4091408704994093,4.120243899713718,2.507195367652055,2.998680894983493,1132711337.2023435,58.02178264269717,0.6706851715935875,0.24990329480963497,0.019667759441794247,-0.05936876846536747,-0.04824071565095353,-0.06620824061830222,15.216200062287319,1.2896740604552943e+32
6,0.09,440.0,1.5717275868839307,0.20106847717665288,4.024152618881339,4.129764502097842,0.7202329967148859,1120274375.8458085,58.18383963069945,0.7211350924557278,0.24941419835965697,0.04840667889219634,0.09948565584158621,0.08494878799102136,0.08665916912917118,15.297492398823987,1.295646172115651e+32
7,0.09,440.0,0.8679308560728132,-0.1380634450230218,1.7810741008098523,1.3080192259815366,5.0769919547847895,1124779300.2755575,56.080114005637206,0.6255841595308613,0.24997829079926423,0.009318626666144117,-0.1984417938570237,-0.1643141711693448,-0.20298717221537446,14.657431299405525,1.2447653731939609e+32
8,0.09,440.0,0.982627234041771,-0.2819451795424368,0.08814749259801107,3.477440655747834,1.7626377284175636,1121096871.8903096,67.5199314742862,0.6976396639538928,0.2462542878189953,0.12240444732124252,-0.005292586116328371,0.003699839802845443,-0.0542947601176999,17.466233420643373,1.5016545622288736e+32
9,0.09,440.0,2.7992792337127677,-0.6334050909876506,2.2237487788653683,3.8541175056674004,3.874740913550349,1105151961.220727,53.92095210196932,0.6103190563179939,0.24942736941943416,0.0478594016078701,-0.1687455398249897,-0.13715633827605195,-0.18830393410285173,14.051717871318111,1.1962610434030768e+32
10,0.09,440.0,2.478061599745617,0.08588985196933918,0.27134157413852744,1.6209102840736938,2.5379859456771467,1114933011.042475,65.22610235772974,0.6895823555749373,0.249749463874288,0.031656666009671416,-9.692332499289146e-05,0.0013415409730524778,-0.0085636591649631,17.12210507095804,1.4507454706800881e+32
11,0.09,440.0,2.1218964608140887,1.4595891786632165,6.24971029335798,3.4858027512811107,4.474683542186118,1116296061.6093132,71.54895097202785,0.6683141271906976,0.24998956079855003,0.006461950618805036,-0.06091757248350344,-0.05039635923699094,-0.06257614439337823,18.768184512563547,1.5902348186292012e+32
12,0.09,440.0,1.5462430365651765,0.5929354628203036,3.528625253785976,2.395451272050155,5.796204825175293,1106965931.2415423,61.57681783764732,0.6958300830608593,0.24951916568959193,0.043855868953109986,0.011184758432691027,0.012066481884850737,-0.005254039505325769,16.15645882109521,1.3698601232511788e+32
13,0.09,440.0,0.2942427072252716,1.1395219578409748,2.7179986227835733,3.7810131999270173,4.852813267143986,1108425023.5397968,62.31175211599872,0.6839539699943232,0.24988335971165598,0.02160002669849774,-0.018585571900509162,-0.013986453737760338,-0.02736541776669779,16.359047948876345,1.3856640912092809e+32
14,0.09,440.0,1.5376915022587023,-0.15943505218285625,1.6420695306274362,2.906576563872333,5.694595299955331,1120636118.9664476,64.60161356418816,0.6857655935230824,0.24999905227030136,0.0019470281956308153,-0.00013427099138094094,-2.468551823564404e-05,-0.0006517476531128774,16.972920614223003,1.4366953442024963e+32
15,0.09,440.0,2.412307391578201,-0.650777811718504,1.0982001562622121,3.2275671490834044,2.059255535041022,1122277047.1982152,60.476808267334526,0.7105727668971874,0.2470208034660706,0.10916403315981646,0.04268976643663529,0.04227123074432977,0.002519206808267005,15.716650680551348,1.3457853370990183e+32
16,0.09,440.0,0.7190590276160407,0.17219242893523945,2.815710930099654,6.1546831173331,4.199190669470813,1125888384.145999,56.30970588669338,0.682946170874578,0.24621450075930157,0.12305282184002758,-0.05279920820393505,-0.035767213011179064,-0.10285294940441317,14.544495324142076,1.2516715170863794e+32
17,0.09,440.0,1.7765515628489676,-1.2259806126678447,0.09240342492416476,0.1318375410837964,5.255935472274999,1120149288.3847346,59.6234047430139,0.6622303895976142,0.24894720670503065,0.06489355268343201,-0.1048460955000555,-0.08308974189188303,-0.12994025130779327,15.557591094885387,1.324772545986069e+32
18,0.09,440.0,0.36742817309062026,1.1915149814622756,4.503873649240851,6.219018403950632,5.046031493810987,1119939019.0947738,59.43806424459899,0.7280822206661586,0.24601756404723893,0.1262130889054073,0.09150609412594134,0.0847525715239226,0.04081587346178167,15.405819308442027,1.323460970764223e+32
19,0.09,440.0,0.18315646832378957,0.40351918268693954,1.9162444793039737,5.805129537149014,0.3772288810864244,1122084511.984108,67.49648305654232,0.6722381775001359,0.2499742977613194,0.010139475071331672,-0.03195874744902975,-0.02596593759713667,-0.03564511270329995,17.712272359401123,1.5003621500533096e+32
